Company,Registration number,Phone,Mobile,Website,Email,Domestic Nondomestic,County
B&S Renewable Solutions,50323,,876259866,,,Domestic,"Roscommon, Mayo, Sligo"
Ballycoe Electrical Ltd,50655,,879494889,,info@smartekelec.ie,Both,"Waterford, Tipperary, Limerick, Kerry, Cork, Clare"
Bayview Contracts,50444,15267706,,,solarpv@bayviewcontracts.com,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Wicklow, Carlow"
Bellehan Electrical Services T/A SC Solar,50461,,+353 86 379 2432,,solar@stephencreanelectrical.ie,Both,"Wicklow, Wexford, Waterford, Tipperary, Limerick, Kilkenny, Kildare, Kerry, Dublin, Carlow"
Bespoke Solar PV Installations Ltd,50660,049 430 5767,,,info@bespokesolar.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Blackstairs Electrical Ltd,50247,,087 341 9186,,blackstairselectrical@gmail.com,Both,"Wexford, Wicklow, Waterford, Kilkenny, Carlow"
Blackwell Energy Ltd,50380,15381778,860850719,,paddy@blackwellenergy.ie,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Blue Sky Solar Ltd,50424,,+353 83 839 3578,,jonathonfagan33@gmail.com,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Blue Solar PV Limited,50381,+353 1 901 1325,086 061 1004,,mark@bluesolar.ie,Domestic,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Bord Gais Energy Ltd,50391,,,,solargrants@bordgais.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Boyne Solar Ltd,50734,,874629149,,boynesolar@gmail.com,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
Brian Leavey Electrical,50368,,087 2585929,,,Domestic,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Brian Rossiter Electrical,50521,,+353 87 147 7671,,brianrossiterelectrical@outlook.com,Both,Kilkenny
Bright Future Solar Ltd,50408,,+353 85 814 2941,,brightfuturesolarltd@gmail.com,Both,"Tipperary, Offaly, Limerick, Laois, Kilkenny, Kildare, Kerry, Cork, Waterford, Clare, Wexford"
BTS Renewables Ltd,50643,,864068324,,btsrenewablesltd@gmail.com,Both,"Cavan, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Carlow, Wicklow"
Budget Solar Ltd,50678,,858384601,,info@budget-solar.ie,Domestic,"Clare, Cork, Galway, Kerry, Limerick, Tipperary"
Burke Electrical and Security,50736,,087 924 6416,,burkeelectricalandsecurity1@gmail.com,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
Byrne Energy,50366,,085 734 8364,,,Both,Galway
Byrne Solar Energy Ltd,50672,,085 8305777,,grants@byrneenergy.ie,Both,"Clare, Galway"
C and C Electrical,50258,,087 185 3541,,,Both,Limerick
CAenergy LTD,50251,022 72838,086 298 9598,,,Domestic,Cork
Caffrey Electrical Services,50671,,087 9951818,,caffreysolar@gmail.com,Both,"Meath, Louth, Kildare, Dublin, Cavan"
Caillin Wrynn,50561,,+353 87 990 4130,,caillinwrynnsolar@gmail.com,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Caldor Solar Limited,50513,01 253 3349,083 099 9334,,,Both,"Wicklow, Westmeath, Waterford, Tipperary, Roscommon, Offaly, Monaghan, Meath, Louth, Longford, Limerick, Laois, Kilkenny, Kildare, Galway, Dublin, Clare, Cavan, Carlow"
Carbon Care LTD T/A Maynooth Solar Electricity,50139,01 910 9195,086 677 5760,,,Both,Kildare
Carbon Electrical Limited TA SolarSure,50484,051 355 033,838895798,,info@solarsure.ie,Both,"Wexford, Waterford, Kilkenny, Kildare, Carlow"
Carraher Solar Limited,50686,,086 887 3716,,kevin@carrahersolar.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Carroll Electrical,50726,,876178047,,carrollelectrical@hotmail.com,Both,"Clare, Galway, Mayo"
Cathal Fitzgerald Electrical & PV Contractor,50722,,862466854,,cathal35@gmail.com,Both,"Carlow, Kildare, Kilkenny, Laois, Offaly, Tipperary, Waterford, Westmeath, Wexford"
CB Electrical,50179,053 942 4820,087 279 4851,,,Both,Wexford
CC Renewables LTD,50213,,087 342 2144,,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
CH Services,50590,,+353 87 463 6238,,info@chservices.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Churchfield Home Services,50074,01 253 0502,,,,Both,"Wexford, Sligo, Roscommon, Offaly, Meath, Mayo, Louth, Longford, Leitrim, Laois, Kilkenny, Kildare, Westmeath, Galway, Dublin, Carlow, Wicklow"
Circet Install Limited (KN Install Limited),50633,14575000,,https://www.circet.ie,robert.stafford@cirect.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
CJP Electrical Ltd T/A Smiths of Wicklow,50551,,+353 86 259 6280,,info@smithswicklow.ie,Both,"Wicklow, Wexford, Kildare, Dublin"
Claddagh Electrics Limited,50301,,087 3542830,,solar@claddaghelectrics.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Clean Energy Solar LTD,50022,021 428 9340,087 398 9078,https://www.cleanenergysolar.ie,,Both,"Tipperary, Waterford, Limerick, Kerry, Cork, Clare"
Clear Sky Energy Ltd,50729,579374247,,,info@clearskyenergy.ie,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
Clover Energy Systems LTD,50046,,087 262 9126,,,Both,Dublin
CMC Electrical Contracting LTD T/A Solar 24,50477,087 122 1728,087 769 9606,,info@solar24.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
CMD Electrical Ireland Ltd,50691,,086 858 6532,,info@cmd-electrical.com,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
COFAB Electrical Ltd,50389,,087 348 3391,,david@cofabelectrical.com,Both,"Wexford, Waterford, Kilkenny"
COK Electrical & Renewables Ltd,50731,,879791346,http://www.cokelectricalandrenewables.ie/,cokelec26@gmail.com,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
Colin Lynskey Plumbing & Heating,50192,,086 1016768,,,Both,Galway
Collery Solar,50211,,086 197 2451,,,Both,Sligo
Colum Gallagher Electrical & Solar,50489,719112921,838725222,https://www.columgelectrical.com/,columgallagherelectrical@gmail.com,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Comet Renewable Energy,50061,091 398 170,087 745 2900,https://www.cometrenewables.ie,,Both,Galway
Comfort Solutions Ireland,50083,098 426 99,087 275 7578,,,Both,Mayo
"Construction, Power, Communications LTD",50472,,857436365,,p.delahunt@hotmail.com,Both,"Wicklow, Waterford, Wexford, Louth, Laois, Kilkenny, Kildare, Galway, Dublin, Carlow"
Coolagh Agri Import Export Ltd,50515,,+353 86 277 2359,,all.solar.ms@gmail.com,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Copper Coast Renewables,50569,,+353 86 042 8332,,grants@coppercoastrenewables.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Corbett Electrical,50400,+353 504 23810,+353 87 255 0031,,tipperarysolarcompany@gmail.com,Both,"Waterford, Tipperary, Offaly, Limerick, Kilkenny"
Cork Solar and Electrical LTD,50588,,+353 85 216 8789,,corksolarandelectricaloffice@gmail.com,Domestic,"Waterford, Tipperary, Limerick, Kerry, Cork"
Cowan Energy Limited,50364,086 0281836,083 1524390,,,Both,Tipperary
CR Solar,50325,,866681707,,,Both,"Donegal, Galway, Kildare, Kilkenny, Laois, Leitrim, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Tipperary, Longford, Limerick, Cavan, Carlow, Westmeath"
Cremin Solar Energy,50598,,+353 87 161 0063,,CreminSolarEnergy@gmail.com,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
Cronin Electrical,50099,023 884 9233,086 828 3121,,Emma@croninelectrical.com,Both,Cork
Cross Border Electrical Ltd,50680,,4.47527E+11,,info@crossborderelectrical.com,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
CSR Electrical Ltd,50656,,868850220,,csrelectricalltd@gmail.com,Domestic,"Galway, Mayo, Roscommon, Sligo"
CubicM3,50201,01 808 4330,086 130 3883,,,Both,Dublin
Curragh Construction Ltd,50510,+353 93 39602,,,curraghconstruct@gmail.com,Both,Galway
Curraghboy Electrical Services Ltd,50413,,+353 87 062 0329,,Curraghboyelectrical@gmail.com,Domestic,"Waterford, Cork"
CV Electrical Ltd,50485,,086 1629275,,cvelectrical@icloud.com,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
DAC Solar Systems T/A Stephen Kennedy Electrical Ltd,50565,,+353 86 258 8426,,dacsolarsystems@gmail.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Kilkenny, Laois, Leitrim, Limerick, Kildare, Kerry, Galway, Donegal, Dublin, Cork, Clare, Cavan, Carlow"
David Gibbons Electrical Ltd,50494,,872613230,,gibbonssolar@gmail.com,Both,"Roscommon, Mayo, Leitrim, Galway, Sligo"
David Hayden Electrical,50369,,874046840,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Meath, Mayo, Louth, Laois, Leitrim, Limerick, Longford, Kilkenny, Kildare, Kerry, Galway, Dublin, Cork, Clare, Carlow"
David O'Toole Electrical,50614,,+353 87 815 5330,,dotuathail3@gmail.com,Domestic,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
DC Energy Solutions,50183,,087 230 1714,,,Domestic,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
DC Solar,50386,,086 258 0767,,John@dcsolar.ie,Both,"Tipperary, Limerick, Galway, Kerry, Clare"
DDL Electrical & Security,50631,,877731331,,solar@ddles.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
DE Electrical and Solar Ltd,50242,,086 817 4995,,de.electrical.solar@gmail.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Dermot McGrath Electrical Ltd,50293,,087 4120833,,,Domestic,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Derry Brosnan Electrical and Construction Services Ltd,50322,,872234752,,derrybrosecsltd@gmail.com,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
DGS Electrical,50446,,863447684,,dgssolarpv@gmail.com,Domestic,"Mayo, Galway"
Dial an Electrician Ltd,50304,1800 303512,086 8443978,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Divers Educational Supplies T/A Celtic Renewables,50719,,087 6922801,,divers.edu.supplies@gmail.com,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
DM Electrical,50043,,087 955 8438,,,Both,Wexford
DMG Electrical Contractors Ltd,50496,,+353 86 259 1121,,,Both,Westmeath
DML Electrical Contractors Ltd,50359,041 9805483,831001333,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
DMP Energy Solutions,50415,,+353 86 164 0197,,dmpenergy1@gmail.com,Both,"Wicklow, Wexford, Westmeath, Offaly, Monaghan, Meath, Louth, Longford, Laois, Kilkenny, Kildare, Dublin, Cavan, Carlow"
DNA Renewables,50499,,+353 86 621 2674,,,Domestic,Dublin
Donoghue and O'Neill Electrical Ltd,50290,,087 1018954,,,Both,Mayo
DOR Electrical Ltd,50239,,086 858 6441,,,Domestic,"Monaghan, Meath, Louth, Longford, Dublin, Cavan"
DPR Solar Services Limited T/A Solar Services Ireland,50696,,086 1536202,,dprsolarservicesireland@gmail.com,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
DR Solar and Electrical Services Ltd,50713,,083 4682703,,drsolarandelectrical@gmail.com,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Drish Electrical,50272,,083 026 7034,,,Both,"Tipperary, Offaly, Laois, Kilkenny"
Drohan Electrical Contracting,50388,,087 263 6789,,Drohanelectrical@gmail.com,Both,Limerick
DTN Electrical Ltd,50311,059 9148775,087 2495208,https://www.dtnelectrical.com,office@dtnelectrical.com,Both,"Wicklow, Wexford, Waterford, Tipperary, Offaly, Meath, Laois, Kilkenny, Kildare, Dublin, Carlow"
