Company,Email,Primary Phone,Phone,Mobile,Website,Domestic Nondomestic,Counties Covered,County Count,Priority Score,Outreach Status,First Email Sent,Follow-up Date,Reply Status,Notes
Joe Sav electrical systems LTD,Solar@savelectrical.com,+353 87 740 1295,,+353 87 740 1295,https://www.savelectrical.com/,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow",26,100,Not contacted,,,,
Lara Electrical Ltd,malcolm@lara.ie,+353 87 230 1835,+353 1 465 9090,+353 87 230 1835,https://www.lara.ie,Both,"Wicklow, Wexford, Offaly, Meath, Laois, Kildare, Dublin, Carlow",8,100,Not contacted,,,,
Link Pro Electrical Ltd,linkelectricalireland@gmail.com,860677222,,860677222,https://www.linksolar.ie,Both,"Westmeath, Sligo, Roscommon, Meath, Mayo, Longford, Leitrim, Galway, Dublin, Donegal, Cavan",11,100,Not contacted,,,,
Mastertech Group Ltd,lee.macari@mastertech.ie,+353 83 017 7196,,+353 83 017 7196,https://mastertech.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,100,Not contacted,,,,
Physalia Ltd T/A Ecoaer,cfennessy@ecoaer.com,+353 83 402 1042,+353 61 433 996,+353 83 402 1042,https://www.ecoaer.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,100,Not contacted,,,,
REenergy Electrical,info@reenergy.ie,14853431,14853431,,https://reeenergy.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,100,Not contacted,,,,
Revamp,padraicgrogan+company@gmail.com,+353 83 335 0558,,+353 83 335 0558,https://www.revamp.ie,Both,"Wexford, Westmeath, Waterford, Offaly, Meath, Laois, Kilkenny, Kildare, Dublin, Carlow, Wicklow",11,100,Not contacted,,,,
SE Systems,solarpv@sesystems.ie,086-1993358,021-2038998,086-1993358,https://www.sesystems.ie/,Both,"Waterford, Tipperary, Limerick, Kerry, Cork",5,100,Not contacted,,,,
Sol Power Solar Ltd T/A Shannon Side Solar Ltd,pv@shannonsidesolar.com,+353 89 702 4928,,+353 89 702 4928,https://www.shannonsidesolar.com,Both,"Dublin, Galway, Kerry, Kildare, Kilkenny, Limerick, Westmeath, Waterford, Tipperary, Offaly, Cork, Clare, Carlow, Wexford, Wicklow",15,100,Not contacted,,,,
Solar Path,ken@solarpath.ie,+353 87 833 9955,,+353 87 833 9955,https://www.solarpath.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,100,Not contacted,,,,
Solar Works Electrical Contractors Ltd,info@solar-works.ie,+353 87 760 3644,,+353 87 760 3644,https://solarworkselectrical.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,100,Not contacted,,,,
Solarsource.ie,brian@solarsource.ie,+353 83 166 7699,,+353 83 166 7699,https://www.solarsource.ie,Domestic,"Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Westmeath, Wexford, Wicklow",26,100,Not contacted,,,,
Swift Electrical T/A Advance Solar,advancesolar@outlook.ie,+353 85 122 0345,+353 45 810 157,+353 85 122 0345,https://www.advancesolar.ie,Both,"Wicklow, Wexford, Waterford, Westmeath, Tipperary, Roscommon, Offaly, Meath, Louth, Longford, Laois, Kilkenny, Kildare, Galway, Dublin, Cavan, Carlow",17,100,Not contacted,,,,
Treacy Solar,admin@treacysolar.com,+353 83 344 4615,,+353 83 344 4615,https://treacysolar.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,100,Not contacted,,,,
WRB Energy LTD,natalie@wrbni.uk,0044 783 636 2058,0044 289 037 0650,0044 783 636 2058,http://www.wrbgroupni.co.uk,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,100,Not contacted,,,,
Gladstone Engineering Limited,accounts@gladstone.ie,+353 87 239 1627,+353 51 364 381,+353 87 239 1627,https://www.gladstone.ie,Both,"Waterford, Kilkenny",2,90,Not contacted,,,,
021 Electrician,office@021.ie,021 2032 111,021 2032 111,,,Both,"Clare, Cork, Kerry, Limerick, Tipperary, Waterford",6,85,Not contacted,,,,
A & B = New Energy Limited,info@newenergy.ie,01 6876080,01 6876080,,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
A1 Solar,a1solar-services@outlook.com,+353 87 716 6947,,+353 87 716 6947,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
AAS Electrical Ltd,aaselectricalandrenewables@gmail.com,086 161 6295,,086 161 6295,,Domestic,"Offaly, Meath, Laois, Kildare, Dublin, Westmeath",6,85,Not contacted,,,,
AB Electrical,info@abelectrical.ie,872281549,,872281549,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
AD Electrical Services,info@adelectrical.ie,086 199 0898,,086 199 0898,,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
AH Electrical Services & More,info@ahelectricalsam.com,873330319,,873330319,,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
APOLLO SOLAR TECH LTD,apolloltdcompany@gmail.com,+353 87 446 4251,,+353 87 446 4251,,Domestic,"Wicklow, Wexford, Waterford, Tipperary, Offaly, Laois, Kilkenny, Kildare, Dublin, Carlow",10,85,Not contacted,,,,
ARPS Security Ltd T/A ARPS Construction,admin@arpssecurity.ie,872221493,,872221493,,Both,"Carlow, Kildare, Kilkenny, Waterford, Wexford, Wicklow",6,85,Not contacted,,,,
Abhaile Solar and Electrical Ltd,abhailesolar@gmail.com,+353 86 842 3073,,+353 86 842 3073,,Both,"Sligo, Roscommon, Offaly, Mayo, Limerick, Leitrim, Galway, Donegal, Clare",9,85,Not contacted,,,,
Activ8 Solar Energies,Sinead.Busby@activ8energies.com,042 969 0352,042 969 0352,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
Agricam CCTV and Electrical LTD,jamie@agripower.ie,+353 87 601 6550,+353 59 912 1011,+353 87 601 6550,,Both,"Westmeath, Waterford, Tipperary, Offaly, Meath, Limerick, Laois, Kilkenny, Kildare, Wexford, Dublin, Carlow, Wicklow",13,85,Not contacted,,,,
All Solar Energies Ireland,admin@asei.ie,087 716 0009,042 603 0770,087 716 0009,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
Alternative Energy,jerome@alternativeenergy.ie,0044 779 354 8036,00 44 2882 250160,0044 779 354 8036,,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Alternative power Generation T/A SDES,accounts@sdes.ie,+353 85 144 6905,,+353 85 144 6905,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Apex Workforce Ltd,donal@apexworkforce.ie,894896485,,894896485,,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
Astatine Limited,info@astatine.ie,01 525 3006,01 525 3006,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
BTS Renewables Ltd,btsrenewablesltd@gmail.com,864068324,,864068324,,Both,"Cavan, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Carlow, Wicklow",26,85,Not contacted,,,,
Ballycoe Electrical Ltd,info@smartekelec.ie,879494889,,879494889,,Both,"Waterford, Tipperary, Limerick, Kerry, Cork, Clare",6,85,Not contacted,,,,
Bayview Contracts,solarpv@bayviewcontracts.com,15267706,15267706,,,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Wicklow, Carlow",26,85,Not contacted,,,,
Bellehan Electrical Services T/A SC Solar,solar@stephencreanelectrical.ie,+353 86 379 2432,,+353 86 379 2432,,Both,"Wicklow, Wexford, Waterford, Tipperary, Limerick, Kilkenny, Kildare, Kerry, Dublin, Carlow",10,85,Not contacted,,,,
Bespoke Solar PV Installations Ltd,info@bespokesolar.ie,049 430 5767,049 430 5767,,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Blackstairs Electrical Ltd,blackstairselectrical@gmail.com,087 341 9186,,087 341 9186,,Both,"Wexford, Wicklow, Waterford, Kilkenny, Carlow",5,85,Not contacted,,,,
Blackwell Energy Ltd,paddy@blackwellenergy.ie,860850719,15381778,860850719,,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Blue Sky Solar Ltd,jonathonfagan33@gmail.com,+353 83 839 3578,,+353 83 839 3578,,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
Blue Solar PV Limited,mark@bluesolar.ie,086 061 1004,+353 1 901 1325,086 061 1004,,Domestic,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Boyne Solar Ltd,boynesolar@gmail.com,874629149,,874629149,,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
Bright Future Solar Ltd,brightfuturesolarltd@gmail.com,+353 85 814 2941,,+353 85 814 2941,,Both,"Tipperary, Offaly, Limerick, Laois, Kilkenny, Kildare, Kerry, Cork, Waterford, Clare, Wexford",11,85,Not contacted,,,,
Budget Solar Ltd,info@budget-solar.ie,858384601,,858384601,,Domestic,"Clare, Cork, Galway, Kerry, Limerick, Tipperary",6,85,Not contacted,,,,
Burke Electrical and Security,burkeelectricalandsecurity1@gmail.com,087 924 6416,,087 924 6416,,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
CH Services,info@chservices.ie,+353 87 463 6238,,+353 87 463 6238,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
CMC Electrical Contracting LTD T/A Solar 24,info@solar24.ie,087 769 9606,087 122 1728,087 769 9606,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
CMD Electrical Ireland Ltd,info@cmd-electrical.com,086 858 6532,,086 858 6532,,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
CV Electrical Ltd,cvelectrical@icloud.com,086 1629275,,086 1629275,,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Caffrey Electrical Services,caffreysolar@gmail.com,087 9951818,,087 9951818,,Both,"Meath, Louth, Kildare, Dublin, Cavan",5,85,Not contacted,,,,
Caillin Wrynn,caillinwrynnsolar@gmail.com,+353 87 990 4130,,+353 87 990 4130,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Carbon Electrical Limited TA SolarSure,info@solarsure.ie,838895798,051 355 033,838895798,,Both,"Wexford, Waterford, Kilkenny, Kildare, Carlow",5,85,Not contacted,,,,
Carraher Solar Limited,kevin@carrahersolar.ie,086 887 3716,,086 887 3716,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
Cathal Fitzgerald Electrical & PV Contractor,cathal35@gmail.com,862466854,,862466854,,Both,"Carlow, Kildare, Kilkenny, Laois, Offaly, Tipperary, Waterford, Westmeath, Wexford",9,85,Not contacted,,,,
Claddagh Electrics Limited,solar@claddaghelectrics.ie,087 3542830,,087 3542830,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
Clear Sky Energy Ltd,info@clearskyenergy.ie,579374247,579374247,,,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
"Construction, Power, Communications LTD",p.delahunt@hotmail.com,857436365,,857436365,,Both,"Wicklow, Waterford, Wexford, Louth, Laois, Kilkenny, Kildare, Galway, Dublin, Carlow",10,85,Not contacted,,,,
Coolagh Agri Import Export Ltd,all.solar.ms@gmail.com,+353 86 277 2359,,+353 86 277 2359,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Copper Coast Renewables,grants@coppercoastrenewables.com,+353 86 042 8332,,+353 86 042 8332,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
Corbett Electrical,tipperarysolarcompany@gmail.com,+353 87 255 0031,+353 504 23810,+353 87 255 0031,,Both,"Waterford, Tipperary, Offaly, Limerick, Kilkenny",5,85,Not contacted,,,,
Cork Solar and Electrical LTD,corksolarandelectricaloffice@gmail.com,+353 85 216 8789,,+353 85 216 8789,,Domestic,"Waterford, Tipperary, Limerick, Kerry, Cork",5,85,Not contacted,,,,
Cremin Solar Energy,CreminSolarEnergy@gmail.com,+353 87 161 0063,,+353 87 161 0063,,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow",26,85,Not contacted,,,,
Cross Border Electrical Ltd,info@crossborderelectrical.com,4.47527E+11,,4.47527E+11,,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
DAC Solar Systems T/A Stephen Kennedy Electrical Ltd,dacsolarsystems@gmail.com,+353 86 258 8426,,+353 86 258 8426,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Kilkenny, Laois, Leitrim, Limerick, Kildare, Kerry, Galway, Donegal, Dublin, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
DC Solar,John@dcsolar.ie,086 258 0767,,086 258 0767,,Both,"Tipperary, Limerick, Galway, Kerry, Clare",5,85,Not contacted,,,,
DDL Electrical & Security,solar@ddles.ie,877731331,,877731331,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
DE Electrical and Solar Ltd,de.electrical.solar@gmail.com,086 817 4995,,086 817 4995,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
DMP Energy Solutions,dmpenergy1@gmail.com,+353 86 164 0197,,+353 86 164 0197,,Both,"Wicklow, Wexford, Westmeath, Offaly, Monaghan, Meath, Louth, Longford, Laois, Kilkenny, Kildare, Dublin, Cavan, Carlow",14,85,Not contacted,,,,
DPR Solar Services Limited T/A Solar Services Ireland,dprsolarservicesireland@gmail.com,086 1536202,,086 1536202,,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
DR Solar and Electrical Services Ltd,drsolarandelectrical@gmail.com,083 4682703,,083 4682703,,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
David Gibbons Electrical Ltd,gibbonssolar@gmail.com,872613230,,872613230,,Both,"Roscommon, Mayo, Leitrim, Galway, Sligo",5,85,Not contacted,,,,
David O'Toole Electrical,dotuathail3@gmail.com,+353 87 815 5330,,+353 87 815 5330,,Domestic,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
